HID,"Lat,Lng"
HID115,"19.1365,72.8226"
HID116,"19.1602,72.8491"
HID117,"19.1119,72.8468"
HID118,"19.0981,72.8258"
HID119,"18.9227,72.8330"
HID120,"19.0981,72.8258"
HID121,"19.1139,72.8469"
HID122,"19.0958,72.8642"
HID123,"19.0980,72.8446"
HID124,"19.0981,72.8478"
HID125,"19.0923,72.8568"
HID126,"19.1057,72.8361"
HID127,"19.1139,72.8469"
HID128,"18.9327,72.8329"
HID129,"19.0956,72.8604"
HID130,"19.1139,72.8469"
HID131,"19.1139,72.8469"
HID132,"19.1139,72.8469"
HID133,"19.1139,72.8469"
HID134,"19.1139,72.8469"
HID135,"19.1139,72.8469"
HID136,"19.1139,72.8469"
HID137,"19.1139,72.8469"
HID138,"19.1139,72.8469"
HID139,"19.1139,72.8469"
HID140,"19.1139,72.8469"
HID141,"19.1139,72.8469"
HID142,"19.1139,72.8469"
HID143,"19.1139,72.8469"
HID144,"19.1139,72.8469"
HID145,"19.1139,72.8469"
HID146,"19.1139,72.8469"
HID147,"19.1139,72.8469"
HID148,"19.0445,72.8190"
HID149,"19.1047,72.8735"
HID150,"18.9810,72.8324"
HID151,"19.0991,72.8651"
HID152,"18.9140,72.8176"
HID153,"18.9930,72.8266"
HID154,"18.9276,72.8230"
HID155,"18.9268,72.8209"
HID156,"18.9217,72.8332"
HID157,"18.9296,72.8220"
HID158,"19.1086,72.8698"
HID159,"19.0695,72.8678"
HID160,"19.0700,72.8678"
HID161,"19.1349,72.8486"
HID162,"19.1476,72.8718"
HID163,"19.1061,72.8698"
HID164,"19.0989,72.8258"
HID165,"19.1018,72.8605"
HID166,"19.0969,72.8656"
HID167,"19.0989,72.8478"
HID168,"19.1149,72.8477"
HID169,"19.1194,72.8925"
HID170,"19.1365,72.8226"
HID171,"19.1073,72.8371"
HID172,"19.1119,72.8468"
HID173,"19.0981,72.8258"
HID174,"18.9227,72.8330"
HID175,"19.0981,72.8258"
HID176,"19.1139,72.8469"
HID177,"19.0958,72.8642"
HID178,"19.0980,72.8446"
HID179,"19.0981,72.8478"
HID180,"19.0923,72.8568"
HID181,"19.1057,72.8361"
HID182,"19.1139,72.8469"
HID183,"18.9327,72.8329"
HID184,"19.0956,72.8604"
HID185,"19.1139,72.8469"
HID186,"19.1139,72.8469"
HID187,"19.1139,72.8469"
HID188,"19.1139,72.8469"
HID189,"19.1139,72.8469"
HID190,"19.1139,72.8469"
HID191,"19.1139,72.8469"
HID192,"19.1139,72.8469"
HID193,"19.1139,72.8469"
HID194,"19.1139,72.8469"
HID195,"19.1139,72.8469"
HID196,"19.1139,72.8469"
